City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Inhambane,MZ,-23.865,35.3833,77.47,74,81,9.69,broken clouds
299,Mercedes,AR,-34.6515,-59.4307,69.84,73,99,7.34,overcast clouds
300,Delmiro Gouveia,BR,-9.3886,-37.9992,76.33,76,1,8.7,clear sky
301,Poum,NC,-20.2333,164.0167,83.43,75,78,19.69,broken clouds
302,Chumikan,RU,54.7183,135.315,1.08,79,95,21.09,overcast clouds
303,Qaqortoq,GL,60.7167,-46.0333,-1.7,85,92,6.06,overcast clouds
304,Vestmannaeyjar,IS,63.4427,-20.2734,41.83,83,91,31.94,overcast clouds
305,Ponta Delgada,PT,37.7333,-25.6667,58.5,71,20,8.05,few clouds
306,Clyde River,CA,70.4692,-68.5914,-9.17,77,100,18.41,light snow
307,Hamilton,US,39.1834,-84.5333,62.55,51,20,14.97,few clouds
308,Ximei,CN,24.9639,118.3794,53.33,76,95,5.61,overcast clouds
309,Teya,RU,60.3778,92.6267,11.3,92,55,5.79,broken clouds
310,Agadir,MA,30.4202,-9.5982,59.45,27,4,15.66,clear sky
311,Komsomolskiy,UZ,40.4272,71.7189,36.82,55,99,6.91,overcast clouds
312,Codrington,AU,-38.2667,141.9667,68.85,42,1,14.47,clear sky
313,Puerto Madero,MX,14.7208,-92.4215,79.29,69,36,5.53,scattered clouds
314,Takoradi,GH,4.8845,-1.7554,79.2,91,39,7.63,scattered clouds
315,Paraiso,CR,9.8383,-83.8656,67.06,96,63,4.76,broken clouds
316,Tezu,IN,27.9167,96.1667,59.92,36,5,0.76,clear sky
317,Sitka,US,57.0531,-135.33,37.29,41,40,8.05,scattered clouds
318,Nieuw Amsterdam,SR,5.8833,-55.0833,77.02,92,93,6.44,overcast clouds
319,Karratha,AU,-20.7377,116.8463,92.57,45,68,9.28,light rain
320,Isernia,IT,41.6002,14.2382,44.67,92,100,4.56,overcast clouds
321,Zhangye,CN,38.9342,100.4517,25.2,38,38,3.47,scattered clouds
322,Kangaba,ML,11.9333,-8.4167,78.15,16,48,4.32,scattered clouds
323,Svetlogorsk,BY,52.6333,29.7333,37.08,79,100,11.88,overcast clouds
324,Qasigiannguit,GL,68.8193,-51.1922,-1.95,97,100,7.16,overcast clouds
325,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.97,97,100,1.43,overcast clouds
326,Henties Bay,NA,-22.116,14.2845,70.86,81,72,4.18,broken clouds
327,Diamantino,BR,-14.4086,-56.4461,70.61,96,93,4.18,overcast clouds
328,Uromi,NG,6.7,6.3333,71.58,93,49,4.21,scattered clouds
329,Kipushi,CD,-11.7667,27.2333,60.21,98,100,4.32,overcast clouds
330,Villa Carlos Paz,AR,-31.4241,-64.4978,64.38,93,25,7.05,scattered clouds
331,Awjilah,LY,29.1081,21.2869,56.93,91,82,9.13,broken clouds
332,Phan Thiet,VN,10.9333,108.1,82.81,61,99,2.28,overcast clouds
333,Igunga,TZ,-4.2833,33.8833,64.56,94,100,3.53,light rain
334,Chunoyar,RU,57.4467,97.3217,10.49,100,100,3.58,overcast clouds
335,Astana,KZ,51.1801,71.446,8.55,78,0,4.47,clear sky
336,Kashi,CN,39.4547,75.9797,31.21,47,95,4.47,dust
337,Masterton,NZ,-40.9597,175.6575,73.96,50,0,9.15,clear sky
338,Alpena,US,45.0617,-83.4327,25.18,88,100,16.11,overcast clouds
339,Lakki Marwat,PK,32.6079,70.9114,59.14,35,89,5.79,overcast clouds
340,Sikasso,ML,10.9167,-7.0,77.27,17,60,4.0,broken clouds
341,Chara,RU,56.9064,118.2631,4.12,80,97,1.52,overcast clouds
342,Manta,EC,-0.95,-80.7333,76.78,83,75,8.05,broken clouds
343,Fergus Falls,US,46.283,-96.0776,3.27,84,100,11.5,overcast clouds
